medium	description	compound	name
GG	Glucose Glutamate Medium	glc__D	D-Glucose
GG	Glucose Glutamate Medium	glu__L	L-Glutamate
GG	Glucose Glutamate Medium	mg2	Magnesium
GG	Glucose Glutamate Medium	so4	Sulfate
GG	Glucose Glutamate Medium	k	Potassium
GG	Glucose Glutamate Medium	pi	Phosphate
GG	Glucose Glutamate Medium	na1	Sodium
GG	Glucose Glutamate Medium	cl	Chloride
GG	Glucose Glutamate Medium	ca2	Calcium
GG	Glucose Glutamate Medium	h2o	Water
GG	Glucose Glutamate Medium	o2	Oxygen
GG	Glucose Glutamate Medium	h	Proton
GG	Glucose Glutamate Medium	co2	Carbon dioxide
GG	Glucose Glutamate Medium	nh4	Ammonium
GG	Glucose Glutamate Medium	hco3	Bicarbonate
GG	Glucose Glutamate Medium	cobalt2	Cobalt
GG	Glucose Glutamate Medium	cu2	Copper
GG	Glucose Glutamate Medium	fe2	Ferrous
GG	Glucose Glutamate Medium	fe3	Ferric
GG	Glucose Glutamate Medium	mn2	Manganese
GG	Glucose Glutamate Medium	mobd	Molybdate
GG	Glucose Glutamate Medium	ni2	Nickel
GG	Glucose Glutamate Medium	zn2	Zinc
CDB	CDB Differentiating Media	glc__D	D-Glucose
CDB	CDB Differentiating Media	k	Potassium
CDB	CDB Differentiating Media	pi	Phosphate
CDB	CDB Differentiating Media	h	Proton
CDB	CDB Differentiating Media	mg2	Magnesium
CDB	CDB Differentiating Media	so4	Sulfate
CDB	CDB Differentiating Media	h2o	Water
CDB	CDB Differentiating Media	na1	Sodium
CDB	CDB Differentiating Media	cl	Chloride
CDB	CDB Differentiating Media	nh4	Ammonium
CDB	CDB Differentiating Media	ca2	Calcium
CDB	CDB Differentiating Media	hco3	Bicarbonate
CDB	CDB Differentiating Media	ala_L	Alanine
CDB	CDB Differentiating Media	arg_L	Arginine
CDB	CDB Differentiating Media	asn_L	Asparagine
CDB	CDB Differentiating Media	asp_L	Aspartic Acid
CDB	CDB Differentiating Media	glu_L	Glutamic Acid
CDB	CDB Differentiating Media	gly	Glycine
CDB	CDB Differentiating Media	his_L	Histidine
CDB	CDB Differentiating Media	ile_L	Isoleucine
CDB	CDB Differentiating Media	leu_L	Leucine
CDB	CDB Differentiating Media	lys_L	Lysine
CDB	CDB Differentiating Media	met_L	Methionine
CDB	CDB Differentiating Media	phe_L	Phenylalanine
CDB	CDB Differentiating Media	pro_L	Proline
CDB	CDB Differentiating Media	ser_L	Serine
CDB	CDB Differentiating Media	thr_L	Threonine
CDB	CDB Differentiating Media	trp_L	Tryptophan
CDB	CDB Differentiating Media	tyr_L	Tyrosine
CDB	CDB Differentiating Media	val_L	Valine
CDB	CDB Differentiating Media	thm	Thiamin
CDB	CDB Differentiating Media	ribflv	Riboflavin
CDB	CDB Differentiating Media	btn	Biotin
CDB	CDB Differentiating Media	fol	Folate
CDB	CDB Differentiating Media	ade	Adenine
CDB	CDB Differentiating Media	gua	Guanine
CDB	CDB Differentiating Media	uri	Uracil
CDB	CDB Differentiating Media	cobalt2	Cobalt
CDB	CDB Differentiating Media	cu2	Copper
CDB	CDB Differentiating Media	fe2	Ferrous
CDB	CDB Differentiating Media	fe3	Ferric
CDB	CDB Differentiating Media	mn2	Manganese
CDB	CDB Differentiating Media	mobd	Molybdate
CDB	CDB Differentiating Media	ni2	Nickel
CDB	CDB Differentiating Media	zn2	Zinc
CDB	CDB Differentiating Media	o2	Oxygen
